hostname,pl_name,default_flag,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2
eps Ind A,eps Ind A b,1,2024-08-07,1,28.4,10.0,-7.2,,,,2005.49725,190.69704,-177.98391,0.4,0.15,-0.18,103.7,2.3,-2.3,,,
TOI-837,TOI-837 b,1,2024-08-07,1,0.0888,0.0026,-0.0029,9.169,0.381,-0.269,120.45697,18.43405,-19.38753,,,,87.097,0.099,-0.129,,,
TOI-1685,TOI-1685 b,1,2024-08-07,1,0.01138,0.00035,-0.00034,1.468,0.05,-0.051,3.03,0.33,-0.32,0.0,,,87.17,0.81,-0.7,,,
TOI-2260,TOI-2260 b,0,2024-08-07,1,,,,1.762,0.165,-0.165,,,,,,,,,,,,
TOI-4633,TOI-4633 c,0,2024-08-07,1,,,,3.53,0.556,-0.556,,,,,,,,,,,,
TOI-1173,TOI-1173 b,1,2024-08-07,1,0.0696,0.0014,-0.0014,9.19,0.18,-0.18,27.4,1.7,-1.7,0.023,0.025,-0.016,87.228,0.087,-0.091,,,
TOI-757,TOI-757 b,1,2024-08-07,1,0.122,0.002,-0.002,2.5,0.1,-0.1,10.5,2.2,-2.1,0.39,0.08,-0.07,89.5,0.4,-0.3,,,
Gaia22dkvL,Gaia22dkvL b,0,2024-08-07,1,1.68,0.14,-0.56,,,,261.25495,16.52708,-33.37198,,,,,,,,,
Gaia22dkvL,Gaia22dkvL b,0,2024-08-07,1,1.4,0.42,-0.23,,,,1081.57007,102.02292,-181.48002,,,,,,,,,
Gaia22dkvL,Gaia22dkvL b,0,2024-08-07,1,1.61,0.16,-0.44,,,,48.62775,2.2248,-3.81394,,,,,,,,,
Gaia22dkvL,Gaia22dkvL b,0,2024-08-07,1,1.69,0.13,-0.31,,,,412.54127,14.93794,-47.99209,,,,,,,,,
Gaia22dkvL,Gaia22dkvL b,0,2024-08-07,1,1.96,0.21,-1.11,,,,1797.9553,171.62734,-425.89007,,,,,,,,,
Gaia22dkvL,Gaia22dkvL b,0,2024-08-07,1,2.04,0.23,-1.11,,,,79.4571,12.71314,-44.17815,,,,,,,,,
Gaia22dkvL,Gaia22dkvL b,1,2024-08-07,1,1.4,0.77,-0.34,,,,187.83659,48.30992,-16.52708,,,,,,,,,
GJ 238,GJ 238 b,1,2024-08-07,1,0.02123,0.00016,-0.00017,0.566,0.014,-0.014,,,,,,,89.99,0.8,-0.79,,,
GJ 238,GJ 238 b,0,2024-08-07,1,,,,0.592,0.034,-0.034,,,,,,,,,,,,
BD-08 2823,BD-08 2823 b,0,2018-04-25,2,0.056,0.002,-0.002,,,,14.4,2.1,-2.1,0.15,0.15,-0.15,,,,,,
BD-08 2823,BD-08 2823 c,1,2014-05-14,2,0.68,0.02,-0.02,,,,104.0,10.0,-10.0,0.19,0.09,-0.09,,,,,,
HR 8799,HR 8799 c,1,2014-05-14,4,38.0,,,13.0,1.0,0.0,3000.0,1000.0,-1000.0,,,,,,,,,
HD 47366,HD 47366 c,0,2019-09-20,2,1.853,0.045,-0.045,,,,591.1638,50.8528,-47.6745,0.278,0.067,-0.094,,,,,,
gam Lib,gam Lib b,0,2018-04-25,2,1.24,0.1,-0.1,,,,324.1866,44.4962,-44.4962,0.21,0.1,-0.1,,,,,,
gam Lib,gam Lib c,0,2018-04-25,2,2.17,0.1,-0.1,,,,1455.6614,143.0235,-136.6669,0.057,0.034,-0.032,,,,,,
GJ 667 C,GJ 667 C b,0,2014-05-16,5,0.049,,,,,,5.68,0.23,-0.23,0.172,0.043,-0.043,,,,,,
GJ 667 C,GJ 667 C c,0,2024-07-12,5,0.123,0.02,-0.02,,,,4.54,0.38,-0.38,0.27,,,,,,,,
GJ 667 C,GJ 667 C f,1,2014-05-14,5,0.156,0.014,-0.017,,,,2.7,1.4,-1.2,0.03,0.16,-0.03,,,,,,
GJ 667 C,GJ 667 C g,1,2014-05-14,5,0.549,0.052,-0.058,,,,4.6,2.6,-2.3,0.08,0.41,-0.08,,,,,,
GJ 667 C,GJ 667 C b,0,2014-05-14,5,0.0505,0.0044,-0.0053,,,,5.6,1.4,-1.3,0.13,0.1,-0.11,,,,,,
GJ 667 C,GJ 667 C c,1,2014-05-14,5,0.125,0.012,-0.013,,,,3.8,1.5,-1.2,0.02,0.15,-0.02,,,,,,
GJ 667 C,GJ 667 C b,0,2014-09-18,5,0.05,0.002,-0.002,,,,5.661,0.437,-0.437,0.122,0.078,-0.078,,,,,,
GJ 667 C,GJ 667 C c,0,2014-09-18,5,0.125,0.004,-0.004,,,,3.709,0.682,-0.682,0.133,0.098,-0.098,,,,,,
GJ 667 C,GJ 667 C b,0,2014-09-18,5,0.050431,4e-06,-4e-06,,,,5.6,0.3,-0.3,0.15,0.05,-0.05,,,,,,
GJ 667 C,GJ 667 C c,0,2014-09-18,5,0.12501,9e-05,-9e-05,,,,4.1,0.6,-0.6,0.27,0.1,-0.1,,,,,,
GJ 1132,GJ 1132 b,0,2018-06-26,2,0.01533,0.00053,-0.00053,1.43,0.16,-0.16,1.63,0.54,-0.54,,,,86.58,0.63,-0.63,,,
HD 3167,HD 3167 c,0,2017-12-14,4,,,,3.0,0.5,-0.3,,,,,,,,,,,,
GJ 1132,GJ 1132 b,1,2024-07-12,2,0.0153,0.0005,-0.0005,1.13,0.056,-0.056,1.66,0.23,-0.23,0.22,,,,,,,,
HD 3167,HD 3167 b,0,2019-08-23,4,0.0179697333510032,,,1.626,0.048,-0.054,5.59,0.98,-0.96,,,,,,,,,
HD 108236,HD 108236 e,0,2024-07-12,5,,,,3.003,0.434,-0.434,,,,,,,,,,,,
HD 108236,HD 108236 c,0,2024-07-12,5,,,,2.057,0.829,-0.829,,,,,,,,,,,,
HD 108236,HD 108236 c,1,2021-01-21,5,0.062,0.0012,-0.0012,2.071,0.052,-0.052,,,,0.034,0.042,-0.025,88.3,0.29,-0.23,,,
HD 3167,HD 3167 b,0,2021-07-12,4,0.01752,0.00063,-0.00063,1.574,0.054,-0.054,5.69,0.44,-0.44,0.0,,,88.6,1.0,-1.4,,,
HD 3167,HD 3167 c,0,2021-07-12,4,0.1806,0.008,-0.008,2.74,0.106,-0.1,8.33,1.79,-1.85,0.05,0.07,-0.04,89.6,0.2,-0.2,,,
HD 3167,HD 3167 c,0,2022-03-28,4,0.150535625237345,,,2.3,0.2,-0.1,,,,,,,90.0,0.9,-0.8,,,
HD 3167,HD 3167 c,0,2022-10-18,4,0.1783,0.0025,-0.0025,2.923,0.098,-0.109,10.67,0.85,-0.81,0.15,,,89.421,0.13,-0.071,,,
HD 3167,HD 3167 e,0,2022-10-18,4,0.4048,0.0077,-0.0074,,,,9.74,1.2,-1.15,0.6,,,,,,,,
HD 3167,HD 3167 c,1,2023-04-17,4,0.1776,0.0037,-0.0031,3.0,0.45,-0.21,11.13,0.78,-0.74,0.06,,,89.3,0.5,-1.0,,,
GJ 1132,GJ 1132 b,0,2024-03-04,2,0.0156255699968328,,,1.168207930261363,,,,,,,,,88.6,0.5,-0.5,,,
HD 108236,HD 108236 b,0,2024-03-04,5,0.0469766950366092,,,1.5901371474263497,,,,,,0.2,0.3,-0.14,87.88,1.3,-0.87,,,
HD 108236,HD 108236 c,0,2024-03-04,5,0.0687060033134549,,,2.0716438782709585,,,,,,0.18,0.34,-0.14,88.72,0.82,-0.74,,,
HD 108236,HD 108236 d,0,2024-03-04,5,0.1133649054672006,,,2.7230370564901776,,,,,,0.17,0.3,-0.12,89.22,0.45,-0.38,,,
HD 108236,HD 108236 e,0,2024-03-04,5,0.1403092477304892,,,3.135618428685659,,,,,,0.2,0.3,-0.13,89.32,0.42,-0.3,,,
TOI-1224,TOI-1224 b,0,2024-05-20,2,,,,2.102,0.304,-0.304,,,,,,,,,,,,
TOI-1224,TOI-1224 c,0,2024-05-20,2,,,,3.384,0.16,-0.16,,,,,,,,,,,,
TOI-815,TOI-815 b,1,2024-05-13,2,0.0903,0.0018,-0.0019,2.94,0.05,-0.05,7.6,1.5,-1.4,0.2,,,89.36,0.17,-0.14,,,
TOI-815,TOI-815 c,1,2024-05-13,2,0.193,0.004,-0.004,2.62,0.1,-0.09,23.5,2.4,-2.4,0.22,,,89.107,0.026,-0.026,,,
TOI-1224,TOI-1224 b,1,2024-07-12,2,0.0355,0.0017,-0.0034,2.104,0.094,-0.091,,,,,,,89.19,0.56,-0.8,,,
TOI-1224,TOI-1224 c,1,2024-07-12,2,0.0988380585481443,,,2.884,0.098,-0.098,,,,0.0,,,,,,,,
HD 48948,HD 48948 b,1,2024-07-12,3,0.0652,0.0005,-0.0005,,,,4.88,0.21,-0.21,0.055,0.043,-0.043,,,,,,
HD 48948,HD 48948 c,1,2024-07-12,3,0.1951,0.0016,-0.0016,,,,7.27,0.7,-0.7,0.55,0.044,-0.044,,,,,,
HD 48948,HD 48948 d,1,2024-07-12,3,0.4894,0.0042,-0.0042,,,,10.59,1.0,-1.0,0.055,0.044,-0.044,,,,,,
WASP-47,WASP-47 b,0,2018-06-26,4,0.0519561828562844,,,12.77,0.44,-0.44,341.0,73.0,-55.0,,,,89.03,0.27,-0.27,,,
