hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2
BD-08 2823,BD-08 2823 c,2014-05-14,2,0.68,0.02,-0.02,104.0,10.0,-10.0,0.19,0.09,-0.09,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HR 8799,HR 8799 c,2014-05-14,4,38.0,1.16,-1.16,3000.0,1000.0,-1000.0,0.5,0.0,0.0,33.215,6.175,-6.175,-5.240000000000002,7.7692888992494025,-7.7692888992494025,01+1-5+-,-5.240000000000002,7.7692888992494025,-7.7692888992494025
GJ 667 C,GJ 667 C f,2014-05-14,5,0.156,0.014,-0.017,2.7,1.4,-1.2,0.03,0.16,-0.03,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
GJ 667 C,GJ 667 C g,2014-05-14,5,0.549,0.052,-0.058,4.6,2.6,-2.3,0.08,0.41,-0.08,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
GJ 667 C,GJ 667 C c,2014-05-14,5,0.125,0.008,-0.0085,3.9499999999999997,0.641,-0.641,0.2015,0.1,-0.098,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
GJ 1132,GJ 1132 b,2024-07-12,2,0.015477784998416424,0.000515,-0.000515,1.625,0.515,-0.51,0.11,0.0,0.0,87.59,0.565,-0.565,0.0,0.7990306627407986,-0.7990306627407986,01+1-5+-,0.0,0.7990306627407986,-0.7990306627407986
HD 108236,HD 108236 c,2021-01-21,5,0.0651,0.0018,-0.0018,5.289336568008172,1.8380263650258408,-1.1769042498186826,0.18,0.34,-0.14,88.72,0.82,-0.74,0.5999999999999943,0.9213034245024816,-0.7984985911070851,02+-5+-,0.5999999999999943,0.9213034245024816,-0.7984985911070851
HD 3167,HD 3167 c,2023-04-17,4,0.17795,0.0027,-0.0028,10.235,1.075,-1.025,0.105,0.07,-0.04,89.3755,0.495,-0.825,0.0,0.7000357133746821,-1.1667261889578033,05+-,0.0,0.7000357133746821,-1.1667261889578033
TOI-815,TOI-815 b,2024-05-13,2,0.0903,0.0018,-0.0019,7.6,1.5,-1.4,0.2,0.0,0.0,89.36,0.17,-0.14,-0.2530000000000001,0.17197674261364532,-0.14239382009062052,01+1-5+-,-0.2530000000000001,0.17197674261364532,-0.14239382009062052
TOI-815,TOI-815 c,2024-05-13,2,0.193,0.004,-0.004,23.5,2.4,-2.4,0.22,0.0,0.0,89.107,0.026,-0.026,0.0,0.03676955262170047,-0.03676955262170047,01+1-5+-,0.0,0.03676955262170047,-0.03676955262170047
TOI-1224,TOI-1224 b,2024-07-12,2,0.0355,0.0017,-0.0034,5.482392691003123,2.2698681027246446,-1.4632950592472334,0.31066330191540814,0.0,0.0,89.19,0.56,-0.8,0.0,0.7919595949289333,-1.1313708498984762,01+-2+-5+-,0.0,0.7919595949289333,-1.1313708498984762
TOI-1224,TOI-1224 c,2024-07-12,2,0.09883805854814438,0.0,0.0,11.146159378227198,2.885646989885238,-2.743804717666384,0.0,0.0,0.0,89.19,0.56,-0.8,0.0,0.7919595949289333,-1.1313708498984762,01+1-2+-3+-4+4-5+-,0.0,0.7919595949289333,-1.1313708498984762
HD 48948,HD 48948 b,2024-07-12,3,0.0652,0.0005,-0.0005,4.88,0.21,-0.21,0.055,0.043,-0.043,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 48948,HD 48948 c,2024-07-12,3,0.1951,0.0016,-0.0016,7.27,0.7,-0.7,0.55,0.044,-0.044,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 48948,HD 48948 d,2024-07-12,3,0.4894,0.0042,-0.0042,10.59,1.0,-1.0,0.055,0.044,-0.044,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
WASP-47,WASP-47 b,2024-05-14,4,0.051606704772358354,0.0013,-0.0013,363.35,18.0349,-17.5349,0.0144,0.0023499999999999997,-0.0011,89.00999999999999,0.2,-0.2,-0.5099999999999909,45.00044444224968,-45.00044444224968,05+-,-0.5099999999999909,45.00044444224968,-45.00044444224968
WASP-47,WASP-47 c,2024-05-14,4,1.393,0.04,-0.04,398.9,18.0,-22.0,0.295,0.017,-0.017,88.5,45.0,-45.0,0.0,63.63961030678928,-63.63961030678928,05+-,0.0,63.63961030678928,-63.63961030678928
WASP-47,WASP-47 d,2024-05-14,4,0.08638874904375496,0.01085,-0.01085,14.7,4.25,-4.25,0.008,0.0098,-0.0041,89.32,0.23,-0.23,-0.8199999999999932,45.00058777393913,-45.00058777393913,05+-,-0.8199999999999932,45.00058777393913,-45.00058777393913
WASP-47,WASP-47 e,2024-05-14,4,0.0168593888204302,0.002165,-0.002165,9.0,0.7350000000000001,-0.745,0.015,0.036,-0.02,86.465,2.6,-2.6,2.0349999999999966,45.07504853020127,-45.07504853020127,05+-,2.0349999999999966,45.07504853020127,-45.07504853020127
HD 23472,HD 23472 d,2022-10-03,5,0.04298,0.00063,-0.00065,0.55,0.21,-0.2,0.07,0.05,-0.047,87.95,1.2,-0.87,0.980000000000004,1.2106196760337244,-0.8845903006477066,05+-,0.980000000000004,1.2106196760337244,-0.8845903006477066
TOI-199,TOI-199 b,2023-10-09,2,0.4254,0.002,-0.002,54.03083,6.35657,-6.35657,0.09,0.01,-0.02,90.0,0.0,0.0,0.0,0.0,-0.0,03+3-5+-,0.0,0.0,-0.0
TOI-199,TOI-199 c,2023-10-09,2,0.807,0.003,-0.003,88.99195,6.35657,-3.17828,0.096,0.008,-0.009,90.0,0.0,0.0,0.0,0.0,-0.0,03+3-5+-,0.0,0.0,-0.0
TOI-2096,TOI-2096 c,2023-03-28,2,0.04,0.002,-0.002,4.954315968569475,2.521487758463498,-1.3296901939319135,0.1,0.17,-0.06,89.56,0.26,-0.23,0.0,0.36769552621700474,-0.3252691193458119,02+-5+-,0.0,0.36769552621700474,-0.3252691193458119
HIP 5158,HIP 5158 b,2019-09-04,2,0.89,0.015,-0.015,451.0,111.2405,-111.2405,0.52,0.08,-0.08,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 20794,HD 20794 b,2015-08-26,4,0.12385,0.0015,-0.0015,2.76,0.2,-0.55,0.135,0.04,-0.22,90.0,0.0,0.0,0.0,0.0,-0.0,03+3-5+-,0.0,0.0,-0.0
HD 20794,HD 20794 c,2015-08-26,4,0.2143,0.0027,-0.0031999999999999997,2.46,0.46,-0.615,0.085,0.1,-0.16,90.0,0.0,0.0,0.0,0.0,-0.0,03+3-5+-,0.0,0.0,-0.0
HD 20794,HD 20794 d,2015-08-26,4,0.35695,0.0049499999999999995,-0.0049499999999999995,4.16,0.59,-0.8049999999999999,0.125,0.16,-0.21,90.0,0.0,0.0,0.0,0.0,-0.0,03+3-5+-,0.0,0.0,-0.0
HD 20794,HD 20794 e,2017-06-06,4,0.509,0.006,-0.006,4.77,0.96,-0.86,0.29,0.14,-0.18,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
Kepler-370,Kepler-370 c,2014-05-14,2,0.13876301573821875,0.0,0.0,4.874403650547283,2.9037887880723714,-2.333855095271757,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-400,Kepler-400 b,2014-05-14,2,0.0869,0.0,0.0,3.8498360093650854,2.838402849723149,-2.4047704894568174,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
