,hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2,namd_rel,namd_rel_mc,namd_rel_q16,namd_rel_q50,namd_rel_q84
0,14 Her,14 Her b,2023-06-12,2,2.81,0.065,-0.065,1523.958886975,47.6745,-47.6745,0.3681999999999999,0.0065,-0.0055,-15.554999999999978,8.862892642924205,-29.231227856523574,05d+-,-15.554999999999978,8.862892642924205,-29.231227856523574,0.09632236496681301,,0.08575439005698886,0.13584111457818382,0.22564613990094162
1,14 Her,14 Her c,2023-06-12,2,14.162,5.298,-2.7265,1720.24625289,361.211984555,-328.475658635,0.4215,0.1075,-0.099,0.0,8.845905832643709,-41.08431820050078,05d+-,0.0,8.845905832643709,-41.08431820050078,0.09632236496681301,,0.08575439005698886,0.13584111457818382,0.22564613990094162
10,55 Cnc,55 Cnc b,2022-05-09,5,0.1144,0.0006,-0.0006,262.92975,7.311769290000001,-7.311769290000001,0.0094,0.008,-0.008,23.0,15.0,-12.0,05+-,0.0,34.634090142517096,-34.704800820635754,0.004581581481058312,,0.021082116179146022,0.09008793543018101,0.33851091922954235
11,55 Cnc,55 Cnc c,2021-09-20,5,0.239,0.0013,-0.0013,54.0298288,2.320333745,-2.288333745,0.0615,0.031,-0.03,23.0,15.0,-12.0,05+-,0.0,34.634090142517096,-34.704800820635754,0.004581581481058312,,0.021082116179146022,0.09008793543018101,0.33851091922954235
12,55 Cnc,55 Cnc d,2021-09-20,5,5.5215,0.1,-0.1,1219.6235,103.294550875,-63.563550875,0.0965,0.025,-0.025,23.0,15.0,-12.0,05+-,0.0,34.634090142517096,-34.704800820635754,0.004581581481058312,,0.021082116179146022,0.09008793543018101,0.33851091922954235
13,55 Cnc,55 Cnc e,2025-04-16,5,0.01544,9e-05,-9e-05,8.09479,0.37,-0.35,0.045,0.034,-0.03,23.0,15.0,-12.0,0,5.215000000000003,24.54893276702676,-24.56036644677762,0.004581581481058312,,0.021082116179146022,0.09008793543018101,0.33851091922954235
14,55 Cnc,55 Cnc f,2021-09-20,5,0.775,0.005,-0.005,46.87969003,3.814,-2.98758703,0.142,0.075,-0.066,23.0,15.0,-12.0,05+-,0.0,34.634090142517096,-34.704800820635754,0.004581581481058312,,0.021082116179146022,0.09008793543018101,0.33851091922954235
69,EPIC 249893012,EPIC 249893012 b,2020-02-06,3,0.047,0.005,-0.007,8.75,1.09,-1.08,0.06,0.08,-0.04,1.7999999999999972,2.7032572944505304,-3.654107278118692,05d+-,1.7999999999999972,2.7032572944505304,-3.654107278118692,0.0061058051135289984,,0.003935052769160206,0.01050836299731121,0.025931433268524404
70,EPIC 249893012,EPIC 249893012 c,2020-02-06,3,0.13,0.01,-0.02,14.67,1.84,-1.89,0.07,0.08,-0.05,0.0,1.0465180361560904,-1.4849242404917498,05d+-,0.0,1.0465180361560904,-1.4849242404917498,0.0061058051135289984,,0.003935052769160206,0.01050836299731121,0.025931433268524404
71,EPIC 249893012,EPIC 249893012 d,2020-02-06,3,0.22,0.02,-0.04,10.18,2.46,-2.42,0.15,0.21,-0.11,-1.5300000000000011,0.8229216244576394,-1.1629703349613008,05d+-,-1.5300000000000011,0.8229216244576394,-1.1629703349613008,0.0061058051135289984,,0.003935052769160206,0.01050836299731121,0.025931433268524404
136,GJ 581,GJ 581 b,2025-03-03,3,0.0406163,0.00042,-0.00044,15.8,0.3,-0.3,0.0,0.0245,-0.012,0.0,21.213203435596427,-18.384776310850235,05d+-,0.0,21.213203435596427,-18.384776310850235,0.0005333282736681575,,0.03012581202423945,0.11061222031016447,0.29030374177619117
137,GJ 581,GJ 581 c,2025-03-03,3,0.0725465,0.00076,-0.00078,5.55,0.3,-0.3,0.0595,0.07,-0.06,0.0,21.213203435596427,-89.94442728707543,05d+-,0.0,21.213203435596427,-89.94442728707543,0.0005333282736681575,,0.03012581202423945,0.11061222031016447,0.29030374177619117
138,GJ 581,GJ 581 e,2025-03-03,3,0.0284533,0.0001799999999999,-0.0001799999999999,1.7,0.22,-0.2,0.0,0.06,-0.015,0.0,21.213203435596427,-18.384776310850235,05d+-,0.0,21.213203435596427,-18.384776310850235,0.0005333282736681575,,0.03012581202423945,0.11061222031016447,0.29030374177619117
156,GJ 876,GJ 876 b,2024-09-16,4,0.2105,0.00052,-0.00052,804.076,13.861997125000002,-13.220911325,0.0338,0.002,-0.0025,0.0,1.965756851698602,-2.0223253941935257,05d+-,0.0,1.965756851698602,-2.0223253941935257,0.007201770053302724,,0.0071464843505719845,0.007637578478569612,0.008438852395746054
157,GJ 876,GJ 876 c,2021-09-20,4,0.132,5e-05,-5e-05,251.075,2.8604704400000003,-3.019384645,0.25591,0.002,-0.002,2.905000000000001,2.119457477752267,-2.160856311743101,05d+-,2.905000000000001,2.119457477752267,-2.160856311743101,0.007201770053302724,,0.0071464843505719845,0.007637578478569612,0.008438852395746054
158,GJ 876,GJ 876 d,2022-05-09,4,0.021,4e-07,-4e-07,7.4,0.415,-0.405,0.124,0.0525,-0.0535,-2.905000000000001,1.965756851698602,-2.0223253941935257,05d+-,-2.905000000000001,1.965756851698602,-2.0223253941935257,0.007201770053302724,,0.0071464843505719845,0.007637578478569612,0.008438852395746054
159,GJ 876,GJ 876 e,2017-10-16,4,0.345,0.0013,-0.002,16.58,1.7,-1.7,0.04,0.021,-0.012,-2.905000000000001,1.965756851698602,-2.0223253941935257,05d+-,-2.905000000000001,1.965756851698602,-2.0223253941935257,0.007201770053302724,,0.0071464843505719845,0.007637578478569612,0.008438852395746054
165,HAT-P-11,HAT-P-11 b,2025-02-24,2,0.053,0.00062,-0.00066,25.0,2.22481,-2.22481,0.2,0.0455,-0.0465,105.45,11.8,-10.05,0,-4.960000000000008,9.71186902712346,-13.15875754013273,0.20232356248152936,,0.19430174854928847,0.2243343631804539,0.2718503916172174
166,HAT-P-11,HAT-P-11 c,2025-02-24,2,4.120794151479811,0.175,-0.11,731.009,130.30964687,-130.30964687,0.604,0.03,-0.03,105.45,11.8,-10.05,05+-,0.0,13.717871555019022,-18.5969083452062,0.20232356248152936,,0.19430174854928847,0.2243343631804539,0.2718503916172174
189,HD 106315,HD 106315 b,2024-12-10,2,0.0905,0.000915,-0.000965,12.6,3.2,-3.2,0.093,0.11,-0.068,0.7399999999999949,1.1623773992232471,-1.325631924781536,05d+-,0.7399999999999949,1.1623773992232471,-1.325631924781536,0.005831887747788655,,0.003371242921946997,0.009499350609523886,0.0206458920887415
190,HD 106315,HD 106315 c,2024-12-10,2,0.1534499999999999,0.00155,-0.0015999999999999,14.9,4.2,-4.2,0.1159999999999999,0.1009999999999999,-0.1009999999999999,0.0,0.5656854249492381,-0.5374011537017761,05d+-,0.0,0.5656854249492381,-0.5374011537017761,0.005831887747788655,,0.003371242921946997,0.009499350609523886,0.0206458920887415
212,HD 111232,HD 111232 b,2024-09-16,2,1.97,0.04,-0.04,2321.742200145,190.6970442,-117.437596385,0.20415,0.01,-0.01,-11.019999999999996,14.592890871928017,-21.05075581184676,05d+-,-11.019999999999996,14.592890871928017,-21.05075581184676,0.09590793229881471,,0.09032018865599471,0.1297487634300924,0.20137049643924207
213,HD 111232,HD 111232 c,2023-06-12,2,18.025,3.579,-3.1255,6159.99127027,1209.17817443,-764.6951472400001,0.442,0.0635,-0.0605,0.0,16.13334831955227,-24.459530668023863,05d+-,0.0,16.13334831955227,-24.459530668023863,0.09590793229881471,,0.09032018865599471,0.1297487634300924,0.20137049643924207
227,HD 118203,HD 118203 b,2025-07-17,2,0.0706080444231884,0.00057,-0.00057,689.68764319,22.883645305,-25.267358355,0.3136,0.014,-0.014,75.0,3.0,-5.0,0,5.459999999999994,13.470894550845538,-16.427492200576445,0.03439925323733392,,0.038315368699216444,0.06561077848822586,0.16061539972237385
228,HD 118203,HD 118203 c,2025-05-27,2,6.24,0.15,-0.155,3637.546118115,316.239264965,-259.030151705,0.2585,0.032,-0.027,75.0,3.0,-5.0,05+-,0.0,19.021172413918126,-23.19310242291876,0.03439925323733392,,0.038315368699216444,0.06561077848822586,0.16061539972237385
252,HD 136352,HD 136352 b,2024-02-05,3,0.0964,0.0028,-0.0028,4.72,0.45,-0.44,0.079,0.074,-0.0665,-0.0605000000000046,0.3582977114077063,-0.2307076071567645,05d+-,-0.0605000000000046,0.3582977114077063,-0.2307076071567645,0.002109304906868246,,0.0007666725187881321,0.0021812773301245676,0.004596476295035251
253,HD 136352,HD 136352 c,2024-02-05,3,0.1721,0.005,-0.005,11.24,0.73,-0.69,0.037,0.0445,-0.0279999999999999,0.0,0.0685893577750951,-0.0721248916810278,05d+-,0.0,0.0685893577750951,-0.0721248916810278,0.002109304906868246,,0.0007666725187881321,0.0021812773301245676,0.004596476295035251
