,pl_name,hostname,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,sy_pnum,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag
1,BD-08 2823 c,BD-08 2823,1,0.68,0.02,-0.02,104.0,10.0,-10.0,2,0.19,0.09,-0.09,90.0,0.0,0.0,,,,03
2,HR 8799 c,HR 8799,1,38.0,1.16,-1.16,3000.0,1000.0,-1000.0,4,0.5,0.0,0.0,33.215,6.175,-6.175,,,,01+1-
8,GJ 667 C e,GJ 667 C,1,0.213,0.019,-0.022,2.7,1.6,-1.4,5,0.02,0.22,-0.02,90.0,0.0,0.0,,,,03
9,GJ 667 C f,GJ 667 C,1,0.156,0.014,-0.017,2.7,1.4,-1.2,5,0.03,0.16,-0.03,90.0,0.0,0.0,,,,03
10,GJ 667 C g,GJ 667 C,1,0.549,0.052,-0.058,4.6,2.6,-2.3,5,0.08,0.41,-0.08,90.0,0.0,0.0,,,,03
12,GJ 667 C c,GJ 667 C,1,0.125,0.008,-0.0085,3.9499999999999997,0.641,-0.641,5,0.2015,0.1,-0.098,90.0,0.0,0.0,,,,03
29,GJ 1132 b,GJ 1132,1,0.015314999999999999,0.000515,-0.000515,1.625,0.515,-0.51,2,0.11,0.0,0.0,87.59,0.565,-0.565,,,,01+1-
41,HD 108236 b,HD 108236,1,0.046085,0.00133,-0.00129,4.002984589050123,1.493441989640231,-1.551338803285299,5,0.2,0.3,-0.14,87.88,1.3,-0.87,,,,02
42,HD 108236 c,HD 108236,1,0.06355,0.0018,-0.0018,5.340200249137988,1.8533743035207797,-1.1756271235459153,5,0.18,0.34,-0.14,88.72,0.82,-0.74,,,,02
43,HD 108236 d,HD 108236,1,0.11025,0.00315,-0.00315,7.536754504204428,1.945307726362433,-1.5611679360356954,5,0.17,0.3,-0.12,89.22,0.45,-0.38,,,,02
44,HD 108236 e,HD 108236,1,0.13835,0.0037,-0.0036,10.758963839737868,2.754490129441187,-2.6519652611806954,5,0.2,0.3,-0.13,89.32,0.42,-0.3,,,,02
45,HD 108236 f,HD 108236,1,0.1758,0.0041,-0.0038,5.068812043354759,1.6438863115638513,-1.0394471943042847,5,0.051,0.036,-0.034,88.963,0.042,-0.042,,,,02
46,GJ 1132 c,GJ 1132,1,0.0476,0.0017,-0.0017,2.64,0.44,-0.44,2,0.27,0.0,0.0,90.0,0.0,0.0,,,,01+1-3
68,TOI-1288 b,TOI-1288,1,0.0429,0.0006,-0.0006,42.0,3.0,-3.0,2,0.064,0.014,-0.015,88.9,1.0,-0.55,,,,0
69,TOI-1288 c,TOI-1288,1,,,,84.0,7.0,-7.0,2,0.13,0.07,-0.09,90.0,0.0,0.0,,,,03
70,HD 3167 d,HD 3167,1,0.07703,0.00106,-0.00108,5.03,0.5,-0.5,4,0.36,0.0,0.0,89.3755,0.495,-0.825,,,,01+1-3
71,HD 3167 e,HD 3167,1,0.39665,0.0078000000000000005,-0.0076500000000000005,9.075,1.1099999999999999,-1.085,4,0.375,0.0,0.0,89.3755,0.495,-0.825,,,,01+1-3
72,HD 3167 b,HD 3167,1,0.01802,0.0003,-0.0003,5.02,0.38,-0.38,4,0.0,0.0,0.0,87.59,4.392,-6.0,,,,01+1-
73,HD 3167 c,HD 3167,1,0.1795,0.0027,-0.0028,10.235,1.075,-1.025,4,0.105,0.07,-0.04,89.3755,0.495,-0.825,,,,0
80,GJ 667 C b,GJ 667 C,1,0.050215499999999996,0.002,-0.002,5.6305,0.3685,-0.3685,5,0.15,0.078,-0.078,90.0,0.0,0.0,,,,03
85,TOI-1736 b,TOI-1736,1,0.074,0.00145,-0.00145,12.350000000000001,1.7000000000000002,-1.7000000000000002,2,0.185,0.0,0.0,87.3,0.0,0.0,,,,01+1-3+3-
86,TOI-1736 c,TOI-1736,1,1.3755000000000002,0.0235,-0.0235,2638.5,309.0,-159.0,2,0.3655,0.0025,-0.0025,69.0,15.0,-17.0,,,,0
92,TOI-815 b,TOI-815,1,0.0903,0.0018,-0.0019,7.6,1.5,-1.4,2,0.2,0.0,0.0,89.36,0.17,-0.14,,,,01+1-
93,TOI-815 c,TOI-815,1,0.193,0.004,-0.004,23.5,2.4,-2.4,2,0.22,0.0,0.0,89.107,0.026,-0.026,,,,01+1-
94,TOI-1224 b,TOI-1224,1,0.0355,0.0017,-0.0034,5.49860352066557,2.2813672329761587,-1.4648875325458492,2,0.31066330191540814,0.0,0.0,89.19,0.56,-0.8,,,,012
95,TOI-1224 c,TOI-1224,1,,,,11.161238194091467,3.065888306479101,-2.6600192033654437,2,0.0,0.0,0.0,90.0,0.0,0.0,,,,01+1-23
96,HD 48948 b,HD 48948,1,0.0652,0.0005,-0.0005,4.88,0.21,-0.21,3,0.055,0.043,-0.043,90.0,0.0,0.0,,,,03
97,HD 48948 c,HD 48948,1,0.1951,0.0016,-0.0016,7.27,0.7,-0.7,3,0.55,0.044,-0.044,90.0,0.0,0.0,,,,03
98,HD 48948 d,HD 48948,1,0.4894,0.0042,-0.0042,10.59,1.0,-1.0,3,0.055,0.044,-0.044,90.0,0.0,0.0,,,,03
99,HIP 8152 b,HIP 8152,1,0.092,0.002,-0.002,7.8,1.8,-1.8,2,0.14,0.0,0.0,90.0,0.0,0.0,,,,01+1-3
100,HIP 8152 c,HIP 8152,1,0.138,0.003,-0.003,9.4,2.2,-2.2,2,0.28,0.0,0.0,90.0,0.0,0.0,,,,01+1-3
102,HD 25463 b,HD 25463,1,0.076,0.002,-0.002,8.5,3.1,-3.1,2,0.0,0.0,0.0,90.0,0.0,0.0,,,,01+1-3
103,HD 25463 c,HD 25463,1,0.0435,0.0009,-0.0009,4.1,0.0,0.0,2,0.0,0.0,0.0,90.0,0.0,0.0,,,,01+1-2+2-3
