,pl_name,hostname,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,sy_pnum,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag
1,BD-08 2823 c,BD-08 2823,1,0.68,0.02,-0.02,104.0,10.0,-10.0,2,0.19,0.09,-0.09,90.0,0.0,0.0,,,,03
2,HR 8799 c,HR 8799,1,38.0,1.16,-1.16,3000.0,1000.0,-1000.0,4,0.5,0.0,0.0,33.215,6.175,-6.175,,,,01+1-
22,WASP-47 b,WASP-47,1,0.0515,0.0013,-0.0013,363.35,18.0349,-17.5349,4,0.0144,0.0023499999999999997,-0.0011,89.00999999999999,0.2,-0.2,,,,0
27,WASP-47 c,WASP-47,1,1.393,0.04,-0.04,398.9,18.0,-22.0,4,0.295,0.017,-0.017,88.5,45.0,-45.0,,,,0
36,WASP-47 d,WASP-47,1,0.0865,0.01085,-0.01085,14.7,4.25,-4.25,4,0.008,0.0098,-0.0041,89.32,0.23,-0.23,,,,0
47,WASP-47 e,WASP-47,1,0.017015,0.002165,-0.002165,9.0,0.7350000000000001,-0.745,4,0.015,0.036,-0.02,86.465,2.6,-2.6,,,,0
48,HD 23472 d,HD 23472,1,0.04298,0.00063,-0.00065,0.55,0.21,-0.2,5,0.07,0.05,-0.047,87.95,1.2,-0.87,,,,0
49,TOI-199 b,TOI-199,1,0.4254,0.002,-0.002,54.03083,6.35657,-6.35657,2,0.09,0.01,-0.02,90.0,0.0,0.0,,,,03+3-
50,TOI-199 c,TOI-199,1,0.807,0.003,-0.003,88.99195,6.35657,-3.17828,2,0.096,0.008,-0.009,90.0,0.0,0.0,,,,03+3-
51,TOI-2096 c,TOI-2096,1,0.04,0.002,-0.002,4.9962325332968565,2.4956139805060795,-1.3498741246763437,2,0.1,0.17,-0.06,89.56,0.26,-0.23,,,,02
54,HIP 5158 b,HIP 5158,1,0.89,0.015,-0.015,451.0,111.2405,-111.2405,2,0.52,0.08,-0.08,90.0,0.0,0.0,,,,03
55,Kepler-24 c,Kepler-24,1,0.1033,0.0,0.0,271.05,13.0,-9.5,4,0.0,0.0,0.0,77.35,0.0,0.0,,,,01+1-3+3-
61,GJ 667 C b,GJ 667 C,1,0.050215499999999996,0.002,-0.002,5.6305,0.3685,-0.3685,5,0.15,0.078,-0.078,90.0,0.0,0.0,,,,03
64,GJ 667 C c,GJ 667 C,1,0.125,0.008,-0.0085,3.9499999999999997,0.641,-0.641,5,0.2015,0.1,-0.098,90.0,0.0,0.0,,,,03
66,GJ 667 C e,GJ 667 C,1,0.213,0.019,-0.022,2.7,1.6,-1.4,5,0.02,0.22,-0.02,90.0,0.0,0.0,,,,03
67,GJ 667 C f,GJ 667 C,1,0.156,0.014,-0.017,2.7,1.4,-1.2,5,0.03,0.16,-0.03,90.0,0.0,0.0,,,,03
68,GJ 667 C g,GJ 667 C,1,0.549,0.052,-0.058,4.6,2.6,-2.3,5,0.08,0.41,-0.08,90.0,0.0,0.0,,,,03
71,Kepler-370 c,Kepler-370,1,0.1381,0.0,0.0,4.899697093564578,2.808703793637796,-2.3841307261926086,2,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
72,Kepler-400 b,Kepler-400,1,0.0869,0.0,0.0,3.9830546401320213,2.934160352484895,-2.446465218225871,2,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
73,Kepler-221 b,Kepler-221,1,0.0354,0.0,0.0,3.460803348638829,1.9965903137835133,-1.3591259669243398,4,0.0,0.0,0.0,88.81,0.0,0.0,,,,01+1-23+3-
74,Kepler-367 c,Kepler-367,1,0.2541,0.0,0.0,2.0830052486111152,0.8100533291949001,-0.5882533089664148,2,0.0,0.0,0.0,88.81,0.0,0.0,,,,01+1-23+3-
75,Kepler-393 c,Kepler-393,1,0.128,0.0,0.0,2.4087408128364567,2.5767348880887004,-1.6385028522565404,2,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
76,Kepler-304 c,Kepler-304,1,0.055,0.0,0.0,6.909638944918014,4.7035442511938514,-2.8614472523248207,4,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
77,Kepler-360 b,Kepler-360,1,0.0436,0.0,0.0,3.648724001723499,2.634439341840822,-2.062525400160917,2,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
79,Kepler-243 c,Kepler-243,1,0.1406,0.0,0.0,4.698563657410513,2.344943286379669,-1.768787332683798,2,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
80,Kepler-261 c,Kepler-261,1,0.1574,0.0,0.0,5.579623665516799,2.0179636551131868,-1.3094898221994296,2,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
81,Kepler-327 d,Kepler-327,1,0.0901,0.0,0.0,4.8535313567693095,2.464806354432252,-1.4399733132384753,3,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
82,Kepler-136 b,Kepler-136,1,0.10569999999999999,0.0,0.0,19.8,11.7,-10.4,2,0.0,0.0,0.0,88.24,0.0,0.0,,,,01+1-3+3-
83,Kepler-122 d,Kepler-122,1,0.1533,0.0,0.0,4.6823012382929825,2.3439276125947073,-1.8442379159417648,5,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
84,Kepler-157 c,Kepler-157,1,0.11205000000000001,0.0,0.0,6.493216844534238,3.1345225371423346,-2.3656939189366204,3,0.0,0.0,0.0,86.52,0.0,0.0,,,,01+1-23+3-
85,Kepler-147 c,Kepler-147,1,0.2098,0.0,0.0,7.68558953720378,4.19349530857788,-2.717324765804457,2,0.0,0.0,0.0,85.94,0.0,0.0,,,,01+1-23+3-
86,Kepler-239 b,Kepler-239,1,0.0939,0.0,0.0,6.391854285032517,2.0297158950845784,-1.5961067959168878,2,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
